"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0050921","positive regulation of chemotaxis","10/142","145/18986",0.0689655172413793,9.22098105876639,8.62618164589632,1.39030941199756e-07,4.54989967248879e-06,3.59969754379674e-06,"1236/719/7852/729230/3576/1901/3071/3627/63940/6352",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0002687","positive regulation of leukocyte migration","10/142","152/18986",0.0657894736842105,8.79633061527057,8.37729258446019,2.16316926310939e-07,6.96677846801422e-06,5.51183479739653e-06,"1236/719/6693/729230/3576/11151/3071/3627/63940/6352",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0042113","B cell activation","13/142","284/18986",0.0457746478873239,6.12026383654037,7.5469315097903,2.22329660088217e-07,7.04854500498427e-06,5.57652519135743e-06,"7805/5579/22806/3561/939/3718/1880/5293/3071/64092/5788/3575/10538",13,"STA_vs_Unruptured","down","GO_BP"
"GO:0097530","granulocyte migration","10/142","156/18986",0.0641025641025641,8.57078367641748,8.24215735086417,2.7563443975283e-07,8.60403505013064e-06,6.80716632587961e-06,"1236/719/7409/3576/5142/5293/3071/120425/3627/6352",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0046634","regulation of alpha-beta T cell activation","9/142","122/18986",0.0737704918032787,9.86342646040175,8.52565181714727,3.38213823829312e-07,1.03975128568132e-05,8.22609380127115e-06,"729230/864/3561/3718/3071/5588/5788/916/10538",9,"STA_vs_Unruptured","down","GO_BP"
"GO:0002690","positive regulation of leukocyte chemotaxis","8/142","95/18986",0.0842105263157895,11.2593031875463,8.70192063933502,5.64310854042344e-07,1.70893540724166e-05,1.35204093073774e-05,"1236/719/729230/3576/3071/3627/63940/6352",8,"STA_vs_Unruptured","down","GO_BP"
"GO:0019724","B cell mediated immunity","11/142","212/18986",0.0518867924528302,6.93748339091151,7.54666125933826,5.76580707257799e-07,1.7204150809207e-05,1.36112318663799e-05,"3503/3493/3502/3538/3514/3500/84174/50615/939/5788/10538",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0006959","humoral immune response","13/142","310/18986",0.0419354838709677,5.60695138573376,7.09929901971051,6.0268978587432e-07,1.77225735585361e-05,1.40213870855582e-05,"3503/3493/3502/1236/3500/729230/3576/6480/1880/10578/3627/5788/6352",13,"STA_vs_Unruptured","down","GO_BP"
"GO:0042098","T cell proliferation","11/142","215/18986",0.0511627906976744,6.84068129708483,7.476562349844,6.62741499805841e-07,1.92100357586579e-05,1.51982073263746e-05,"6693/10077/729230/11151/923/3071/5588/5788/6352/916/944",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0030101","natural killer cell activation","8/142","102/18986",0.0784313725490196,10.4866059099696,8.33924771759722,9.74340515037363e-07,2.7457457014039e-05,2.17232351671342e-05,"7409/26191/50615/962/11151/5293/914/5788",8,"STA_vs_Unruptured","down","GO_BP"
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","8/142","102/18986",0.0784313725490196,10.4866059099696,8.33924771759722,9.74340515037363e-07,2.7457457014039e-05,2.17232351671342e-05,"6693/864/3561/6775/3718/1880/3071/10538",8,"STA_vs_Unruptured","down","GO_BP"
"GO:0070233","negative regulation of T cell apoptotic process","5/142","25/18986",0.2,26.7408450704225,11.1795702944653,1.02705475362409e-06,2.85464944534695e-05,2.25848377689507e-05,"939/3718/5588/6352/3575",5,"STA_vs_Unruptured","down","GO_BP"
"GO:0045060","negative thymic T cell selection","4/142","12/18986",0.333333333333333,44.5680751173709,13.1051643827683,1.4171216807081e-06,3.88559444615774e-05,3.07412597877645e-05,"1236/6693/5788/916",4,"STA_vs_Unruptured","down","GO_BP"
"GO:0046635","positive regulation of alpha-beta T cell activation","7/142","75/18986",0.0933333333333333,12.4790610328639,8.64654636290131,1.46528041449079e-06,3.96407194800241e-05,3.13621422048905e-05,"729230/864/3561/3071/5588/5788/916",7,"STA_vs_Unruptured","down","GO_BP"
"GO:1902105","regulation of leukocyte differentiation","13/142","337/18986",0.0385756676557863,5.15772976135746,6.68507615959958,1.53473619129527e-06,4.0973417528133e-05,3.24165192759735e-05,"729230/814/22806/864/3561/939/3718/3071/6932/914/5788/3575/10538",13,"STA_vs_Unruptured","down","GO_BP"
"GO:0019722","calcium-mediated signaling","11/142","235/18986",0.0468085106382979,6.25849565477974,7.04119154426754,1.58817270069904e-06,4.18493819443943e-05,3.31095470754073e-05,"1236/719/5032/1234/2769/84174/7852/729230/3576/5788/916",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0050856","regulation of T cell receptor signaling pathway","6/142","49/18986",0.122448979591837,16.3719459614832,9.35264014562064,1.68956310965045e-06,4.39503019164201e-05,3.47717104212812e-05,"1236/7805/84174/26191/3932/5788",6,"STA_vs_Unruptured","down","GO_BP"
"GO:0010818","T cell chemotaxis","5/142","28/18986",0.178571428571429,23.875754527163,10.5152864752108,1.8658652124176e-06,4.74731623700864e-05,3.75588558607464e-05,"729230/1880/5293/3627/6352",5,"STA_vs_Unruptured","down","GO_BP"
"GO:0006909","phagocytosis","11/142","239/18986",0.0460251046025105,6.15375095762862,6.96016306354218,1.87178560355195e-06,4.74731623700864e-05,3.75588558607464e-05,"7409/64005/51411/729230/3561/11151/56990/3071/3683/9938/5788",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0001909","leukocyte mediated cytotoxicity","9/142","151/18986",0.0596026490066225,7.96912601436433,7.46357504512197,2.03686987281983e-06,5.10223329870549e-05,4.03668168427582e-05,"3500/7409/11151/3820/3071/914/10870/5788/3575",9,"STA_vs_Unruptured","down","GO_BP"
"GO:0001776","leukocyte homeostasis","8/142","113/18986",0.0707964601769911,9.4657858656363,7.83517960360438,2.12199580107989e-06,5.25064570779403e-05,4.15409961058644e-05,"729230/5142/3718/1880/11151/5293/3071/3575",8,"STA_vs_Unruptured","down","GO_BP"
"GO:0097529","myeloid leukocyte migration","11/142","243/18986",0.0452674897119342,6.05245464556889,6.88095841217235,2.19896294192582e-06,5.37553711947891e-05,4.25290867017993e-05,"1236/719/7409/729230/3576/5142/5293/3071/120425/3627/6352",11,"STA_vs_Unruptured","down","GO_BP"
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","7/142","84/18986",0.0833333333333333,11.1420187793427,8.08673290508388,3.16178574963763e-06,7.6372181976366e-05,6.04225973458318e-05,"864/3561/3718/3071/5588/916/10538",7,"STA_vs_Unruptured","down","GO_BP"
