"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"RGS18",2.90936796385427e-08,-5.80176273445953,0.005,0.167,0.00088662988698459,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GRAMD1B",2.9752503716243e-08,-5.61584534161237,0.005,0.167,0.000906707550752506,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"DPP10",3.06534894478812e-08,-5.66868543867442,0.005,0.167,0.00093416509092418,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CDC42SE2",3.33359245762886e-08,-4.74069162426126,0.142,0.833,0.00101591230146239,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SKAP1",3.93202240712234e-08,-3.53246977465167,0.043,0.5,0.00119828382857053,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"ABI3",6.24947867763568e-08,-5.52579118185059,0.005,0.167,0.00190452862700947,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"HCST",6.57054013874182e-08,-3.87889792952306,0.046,0.5,0.00200237210728157,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CXCL8",7.54147793548445e-08,-5.49440822768422,0.021,0.333,0.00229826540083889,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"HPGDS",8.40019138759356e-08,-5.95845352455708,0.005,0.167,0.00255995832536914,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"KCNK6",9.1477502392539e-08,-5.36771758742078,0.021,0.333,0.00278777688541263,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PLCB2",1.09297552489631e-07,-6.88862050852427,0.005,0.167,0.00333084291212149,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"P2RY11",1.09297552489631e-07,-6.40673266946103,0.005,0.167,0.00333084291212149,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
