"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"AL033527.3",1,0,0,0,0,0
"AL033527.4",9,3,1,11,8,0
"LINC02811",3,2,1,12,1,0
"TRIT1",53,32,35,510,170,2
"MYCL",4,0,1,1,6,0
"MFSD2A",50,9,15,174,25,0
"CAP1",511,229,240,3770,1683,21
"PPT1",156,68,100,1967,1327,13
"RLF",902,761,494,1683,1202,24
"TMCO2",2,4,2,6,0,0
"AL050341.2",5,1,5,236,194,0
"ZMPSTE24",70,60,56,1159,469,8
"COL9A2",14,10,10,5,5,0
"SMAP2",1350,1441,696,419,724,8
"AL031985.4",13,22,7,8,6,1
"ZFP69B",35,19,13,30,18,0
"AL031985.3",14,3,1,5,3,0
"ZFP69",3,5,5,83,25,0
"AL603839.3",21,16,16,223,74,1
"EXO5",12,11,4,99,45,0
"ZNF684",49,39,26,355,179,2
"AL356379.2",0,0,0,5,0,0
"RIMS3",7,4,2,8,7,0
"AL031289.2",0,0,0,0,0,0
"AL031289.1",8,1,0,11,10,2
"NFYC-AS1",13,8,4,45,47,1
"NFYC",245,181,71,823,441,4
"KCNQ4",7,1,0,8,8,0
"CITED4",85,43,48,309,430,0
"AC119677.1",0,0,0,4,0,0
"AL391730.2",0,0,0,1,2,0
"CTPS1",101,82,80,322,132,2
"SLFNL1-AS1",24,31,12,50,9,0
"SLFNL1",27,35,19,48,8,0
"SCMH1",355,231,201,2104,1035,18
"AC093151.8",3,0,5,104,9,0
"AC093151.3",0,0,1,10,0,1
"FOXO6",5,2,0,43,56,1
"AC093151.2",0,0,0,6,8,0
"EDN2",13,0,0,1,0,0
"HIVEP3",344,194,146,474,280,17
"AL158216.1",1,4,0,15,6,1
"FOXJ3",889,490,307,1891,957,12
"RIMKLA",1,0,0,3,0,1
"ZMYND12",5,4,0,22,21,1
"PPCS",156,144,123,2370,1525,3
"CCDC30",50,17,13,423,128,2
"PPIH",112,70,112,993,829,3
"AC098484.4",19,45,10,30,18,1
"AC098484.2",1,0,1,10,7,0
"YBX1",2924,923,1591,17149,11293,147
"CLDN19",3,0,0,1,0,0
"P3H1",62,29,97,616,422,5
"C1orf50",93,46,67,841,436,2
"TMEM269",14,6,4,19,12,0
"SVBP",104,48,90,1764,1667,11
"ERMAP",26,9,16,168,87,3
"AL512353.1",4,1,4,43,29,1
"ZNF691",6,1,2,203,140,1
"SLC2A1",274,81,93,156,96,3
"SLC2A1-AS1",1,4,3,12,6,0
"EBNA1BP2",170,31,85,1991,835,5
"CFAP57",3,1,1,21,25,1
"TIE1",4,0,0,20,12,2
"MPL",0,0,2,0,0,0
"AL139289.2",5,2,2,47,24,1
"CDC20",17,0,3,11,7,3
"ELOVL1",79,27,42,1288,697,2
"MED8",84,70,147,1608,995,5
"AL139289.1",0,2,1,4,0,0
"SZT2",100,85,57,409,256,3
"HYI",34,7,46,1532,1961,10
"HYI-AS1",0,0,0,25,2,0
"PTPRF",17,2,8,398,153,5
"KDM4A",101,61,33,546,340,3
"KDM4A-AS1",44,31,20,70,29,0
"ST3GAL3",164,142,64,873,400,9
"AL451062.1",20,9,6,38,6,0
"ARTN",4,0,1,6,15,0
"AL357079.1",8,8,4,68,21,0
"IPO13",17,7,13,189,89,2
"AL357079.2",0,0,0,1,2,1
"DPH2",20,16,8,317,98,1
"ATP6V0B",794,212,493,5186,3634,24
"B4GALT2",32,0,13,485,233,3
"CCDC24",9,2,7,57,40,1
"SLC6A9",11,0,4,58,37,1
"AL139220.2",15,1,7,17,18,1
"KLF17",0,0,0,2,0,0
"DMAP1",75,38,39,729,603,5
"ERI3",84,64,79,1806,1420,6
"RNF220",93,66,64,387,331,3
"TMEM53",9,5,9,178,171,1
"ARMH1",54,19,33,40,27,5
"KIF2C",19,16,12,12,2,1
"AL592166.1",9,9,5,34,30,0
"RPS8",24611,7336,8720,68843,60919,383
"BEST4",2,1,1,9,9,0
"PLK3",431,416,286,1330,1618,13
"TCTEX1D4",4,1,3,2,3,0
"BTBD19",176,124,81,186,246,5
"PTCH2",109,47,48,1628,362,15
"EIF2B3",111,123,95,1873,1140,20
"HECTD3",23,12,17,271,136,2
"UROD",69,30,40,1230,526,7
"ZSWIM5",227,88,52,600,148,8
"LINC01144",0,0,0,3,7,0
"HPDL",0,0,2,10,3,0
"MUTYH",88,61,48,581,274,1
"TOE1",51,86,27,446,169,2
"TESK2",352,147,56,199,209,9
"CCDC163",3,1,2,32,16,1
"MMACHC",20,9,8,69,49,6
"PRDX1",1845,327,1376,23046,16723,53
"AKR1A1",127,53,127,2719,2604,11
"NASP",1342,628,469,2764,1543,33
"CCDC17",7,2,1,32,48,0
"GPBP1L1",591,376,245,1484,773,16
"TMEM69",49,20,21,425,314,1
"IPP",40,35,27,447,289,5
"AL604028.1",0,0,1,25,3,0
"MAST2",198,97,73,926,531,7
"PIK3R3",90,26,40,480,281,35
"AL358075.1",2,0,0,3,1,0
"AL358075.2",0,0,1,1,2,1
"TSPAN1",2,2,2,24,17,0
"POMGNT1",26,15,25,329,157,2
"LURAP1",8,0,13,322,196,5
"RAD54L",6,14,5,24,3,2
"LRRC41",132,135,74,1174,572,10
"UQCRH",1337,444,672,6376,5728,36
"NSUN4",44,35,17,418,141,3
"FAAH",8,1,4,53,20,0
"TMEM275",0,0,0,3,0,1
"MKNK1-AS1",8,6,8,20,1,0
"MKNK1",122,76,70,964,723,11
"MOB3C",19,11,11,428,188,0
"ATPAF1",54,58,35,797,417,4
"TEX38",4,1,0,4,0,0
"EFCAB14-AS1",15,31,6,21,4,0
"EFCAB14",222,150,108,2056,1140,16
"CYP4B1",0,0,0,3805,4385,2
"CYP4A11",0,0,0,1,0,0
"CYP4X1",4,0,3,418,126,2
"CYP4Z1",0,0,0,205,18,1
"CYP4A22-AS1",0,0,0,38,7,0
"CYP4A22",0,0,0,2,0,0
"LINC00853",0,0,0,10,14,0
"PDZK1IP1",0,2,2,2,7,0
"TAL1",2,3,0,7,1,0
"AL135960.1",0,0,0,0,0,0
"STIL",22,38,6,32,13,4
"CMPK1",622,234,417,3838,2033,20
"LINC01389",20,14,18,47,5,1
"FOXE3",1,0,0,0,0,0
"FOXD2-AS1",3,1,3,9,10,0
"FOXD2",8,3,11,53,20,0
"LINC01738",0,0,0,1,0,0
"TRABD2B",18,0,43,454,154,11
"AC096541.1",0,0,0,0,1,1
"LINC02794",0,0,1,5,2,0
"AL109659.1",0,0,2,23,0,1
"SLC5A9",0,0,2,68,11,0
"AL109659.2",0,0,0,13,7,0
"SPATA6",32,14,65,3094,3378,12
"AGBL4",4,10,2,84,32,1
"BEND5",20,5,26,199,259,0
"AL645507.1",0,0,0,3,0,0
"AC099788.1",0,0,0,4,0,1
"AL590432.1",0,0,0,0,0,0
"ELAVL4",1,0,0,5,0,0
"LINC02808",0,0,0,0,0,0
"DMRTA2",1,0,0,4,3,0
"FAF1",1204,872,415,2640,1462,27
"AL049637.1",9,3,3,9,3,0
"CDKN2C",28,37,56,1235,2180,6
"C1orf185",0,0,0,4,0,0
"LINC01562",8,2,2,10,5,0
"RNF11",304,249,216,1392,869,15
"AL162430.2",7,7,5,6,4,0
"TTC39A",18,13,4,18,8,3
"TTC39A-AS1",5,1,1,2,0,0
"EPS15",507,741,466,3112,2080,21
"AC104170.2",3,5,7,7,2,0
"AC104170.1",49,79,42,16,18,0
"OSBPL9",434,352,354,2981,3899,31
"NRDC",603,331,215,3141,1584,16
"AL050343.2",5,1,0,11,16,0
"AL050343.3",0,0,0,8,0,0
"RAB3B",25,1,0,3,0,0
"TXNDC12",264,167,184,2400,1586,9
"KTI12",44,30,44,680,402,1
"AL445685.1",18,10,3,7,6,0
"BTF3L4",294,192,197,3260,1983,13
"ZFYVE9",151,123,96,1071,628,3
"CC2D1B",59,46,35,174,126,1
"AL513218.1",0,0,0,3,0,0
"AL513218.2",3,3,1,58,27,3
"ORC1",17,13,4,10,4,0
"PRPF38A",225,125,71,1155,421,4
"TUT4",1400,1110,557,2301,1915,16
"GPX7",38,23,28,310,257,1
"SHISAL2A",144,76,42,10,19,0
"COA7",30,11,17,364,112,1
"ZYG11B",110,83,72,1174,519,10
"ZYG11A",3,0,2,17,3,0
"ECHDC2",114,131,47,3434,3291,16
"SCP2",274,100,245,6154,4792,27
"PODN",16,0,8,11308,10091,26
"AL445183.1",0,0,0,42,12,0
"SLC1A7",2,0,2,136,65,3
"AL445183.2",0,0,0,16,49,0
"CPT2",18,11,14,201,176,1
"AL606760.2",2,2,0,25,6,0
"CZIB",65,50,73,3046,3304,11
"AL606760.3",4,2,2,27,26,0
"MAGOH",538,234,268,3559,2869,19
"AL606760.1",4,2,2,8,23,0
"LRP8",36,30,27,36,17,1
"LINC01771",2,2,3,3,5,0
"AC119428.2",2,0,0,2,0,0
"LINC02812",1,0,0,1,2,0
"GLIS1",6,3,26,23,80,0
"NDC1",66,55,20,268,130,0
"YIPF1",44,32,28,500,269,2
"DIO1",8,15,7,10,24,0
"HSPB11",267,158,205,1476,1069,8
"LRRC42",70,18,31,819,341,4
"TMEM59",810,478,954,18303,15159,35
"TCEANC2",37,21,16,192,114,1
"CDCP2",0,0,0,3,0,1
"CYB5RL",11,8,6,76,58,1
"MRPL37",78,31,36,899,983,1
"SSBP3",301,160,149,1086,817,23
"AL035415.1",0,0,0,1,0,0
"AC099796.2",0,0,0,0,0,0
"ACOT11",3,2,13,51,37,1
"FAM151A",0,0,2,3,0,0
"MROH7",0,0,2,15,14,0
"TTC4",69,58,51,1000,582,2
"PARS2",7,1,1,92,31,0
"TTC22",15,17,11,2,2,0
"LEXM",0,1,0,1,1,0
"DHCR24",17,3,2,244,197,1
"AC096536.3",6,2,1,15,14,1
"DHCR24-DT",0,0,0,2,1,0
"AL590440.2",0,0,0,2,0,0
"TMEM61",0,0,0,18,14,0
"PCSK9",3,0,0,2,0,0
"USP24",357,313,230,1319,811,11
"MIR4422HG",25,20,5,20,6,0
"AL603840.1",1,1,0,469,468,0
"LINC01753",0,0,0,7,0,0
"AL353681.1",0,0,0,3,0,0
"AC119674.1",35,2,19,1108,425,9
"PLPP3",186,11,190,17681,13967,40
"PRKAA2",8,0,23,195,111,3
"FYB2",1,0,0,1,0,0
"C8A",0,0,0,1,0,0
"C8B",0,0,0,1,0,0
"AL161740.1",0,0,0,1,0,0
"DAB1",71,22,37,498,234,4
"DAB1-AS1",0,0,0,1,0,0
"AL445193.2",0,0,0,2,0,0
"OMA1",26,22,34,711,585,1
"AL035411.3",0,0,2,15,39,0
"TACSTD2",13,0,1,11,8,0
"MYSM1",247,225,159,1092,623,9
"AL136985.3",2,1,0,9,12,2
"JUN",5423,6410,4633,19440,80083,455
"LINC01135",83,57,36,148,193,3
"AL136985.1",0,1,0,2,0,0
"LINC02777",6,4,4,79,58,0
"LINC01358",8,3,7,148,219,3
"AL592431.2",0,0,0,1,0,0
"AL592431.1",0,0,0,8,18,0
"AC093425.1",4,3,4,190,185,0
"AC093424.1",1,0,0,0,2,0
"FGGY",120,62,51,432,678,3
"AL035416.1",3,2,0,2,0,0
"HOOK1",64,36,37,9,6,0
"CYP2J2",0,0,0,1,2,0
"C1orf87",0,0,0,9,14,0
"LINC02778",0,0,0,1,0,0
"LINC01748",0,0,0,5,0,0
"AC099792.1",0,0,2,14,3,0
"NFIA",262,178,264,15727,9424,103
"NFIA-AS2",3,0,3,167,155,2
"NFIA-AS1",0,0,0,5,4,0
"AC099791.3",0,0,0,5,3,0
"AC099791.4",0,0,0,6,0,0
"TM2D1",220,167,197,3840,1992,9
"AC099791.2",4,0,12,263,173,0
"PATJ",571,490,212,452,280,16
"L1TD1",1,2,7,3,4,1
"KANK4",2,0,2,10,1,3
"USP1",279,170,110,1851,812,9
"DOCK7",134,78,78,1254,695,6
"AC103923.1",9,2,2,22,7,1
"ATG4C",43,15,36,723,520,2
"LINC01739",0,0,0,0,0,0
"AC096543.1",0,0,0,0,0,0
"LINC00466",1,0,0,12,0,0
"FOXD3-AS1",0,0,0,1,2,0
"FOXD3",0,0,0,2,3,1
"ALG6",46,50,33,382,206,1
"ITGB3BP",137,71,84,1285,512,3
"BX004807.1",4,3,1,10,3,0
"EFCAB7",59,44,32,654,468,4
"DLEU2L",4,5,4,70,35,0
"PGM1",107,39,81,695,444,6
"ROR1",7,1,21,730,611,20
"ROR1-AS1",0,0,0,35,13,1
"UBE2U",1,0,0,2,1,0
"CACHD1",51,6,13,1543,1527,9
"RAVER2",62,40,15,235,104,2
"JAK1",2852,1957,1537,9685,7610,59
"LINC01359",0,0,0,67,44,0
"AL357078.2",1,1,0,6,2,0
"AK4",78,4,41,201,143,7
"DNAJC6",65,29,24,36,37,1
"AL139294.1",16,19,6,3,1,0
"LEPROT",132,87,250,6737,5451,19
"LEPR",84,22,73,7555,8051,18
"AC119800.1",2,2,3,4,23,0
"PDE4B",1480,1447,1134,169,301,13
"SGIP1",47,10,991,294,454,9
"AL139147.1",0,0,36,26,24,0
"TCTEX1D1",1,0,2,1,6,0
"WDR78",22,7,19,314,99,6
"MIER1",804,627,428,4332,2701,22
"SLC35D1",375,251,110,836,456,6
"C1orf141",14,14,10,9,12,0
"AL133320.2",0,0,0,1,0,0
"IL23R",22,17,13,14,21,0
"IL12RB2",187,859,167,58,18,3
"SERBP1",1107,638,752,7102,2900,31
"GADD45A",684,291,562,3641,3027,33
"GNG12",62,2,135,3941,3148,24
"GNG12-AS1",6,0,14,415,379,4
"DIRAS3",23,2,1,136,139,0
"WLS",24,0,97,2206,1564,7
"RPE65",0,0,0,0,0,0
"DEPDC1",0,0,0,1,3,0
"DEPDC1-AS1",0,0,0,1,0,0
"AL033530.1",3,0,0,10,1,0
"AL691520.1",0,0,0,2,8,0
"LINC01707",0,0,0,6,1,0
"LINC02791",0,0,0,2,0,0
"AL359894.1",0,0,0,1,0,0
"LRRC7",28,27,14,146,215,3
"AL158840.1",0,0,0,1,0,0
"LRRC40",125,79,80,694,440,2
"SRSF11",1241,863,893,8914,5547,33
"ANKRD13C",427,257,127,1195,518,7
"HHLA3",17,14,3,341,478,0
"CTH",58,40,37,330,251,0
"AL354872.2",2,0,0,7,3,0
"LINC01788",0,0,1,1,0,0
"PTGER3",5,2,8,77,38,2
"ZRANB2-AS1",16,33,10,20,2,1
"ZRANB2",672,426,316,5588,4333,26
"ZRANB2-AS2",5,0,6,312,167,5
"NEGR1",28,18,28,14094,14057,125
"AL354949.1",0,0,0,95,9,3
"AL513166.1",1,1,3,369,185,6
"AL583808.1",0,0,1,25,3,1
"LINC02796",0,0,0,3,0,0
"LINC02797",0,0,0,1,0,0
"LINC01360",0,0,0,3,0,0
"LINC02238",0,0,0,1,0,0
"AL591463.1",2,0,0,2,0,0
"LRRIQ3",6,5,5,37,34,0
"FPGT",11,15,16,1048,545,2
"TNNI3K",4,3,8,320,155,1
"AC093158.1",0,0,1,4,0,1
"LRRC53",0,0,0,2,1,0
"ERICH3",2,0,0,14,4,1
"ERICH3-AS1",0,0,0,1,0,0
"AC135803.1",0,0,0,19,3,1
"CRYZ",30,14,23,744,516,4
"TYW3",132,81,86,1836,983,4
"LHX8",0,0,0,0,15,0
"SLC44A5",72,2,3,40,54,4
"ACADM",140,87,74,1872,1035,5
"RABGGTB",196,136,210,1276,768,6
"MSH4",10,2,3,87,15,1
"ASB17",0,0,0,1,1,0
"AC092813.1",2,0,0,2,0,0
"AC092813.2",0,0,0,0,0,0
"ST6GALNAC3",127,59,17,65,83,8
"AC104458.1",0,0,0,0,0,0
"LINC02567",0,0,0,0,0,0
"ST6GALNAC5",1,0,2,10,6,1
"AL035409.1",0,0,0,3,0,0
"PIGK",75,48,77,1323,898,8
"AK5",25,6,9,42,12,4
"AC095030.1",0,0,0,0,0,0
"AC093575.1",0,0,0,1,0,0
"AC118549.1",524,293,148,1543,786,7
"USP33",425,362,300,2753,1392,7
"MIGA1",275,222,144,1510,1201,0
"NEXN-AS1",6,9,1,28,53,2
"NEXN",77,52,19,1714,1646,31
"FUBP1",669,544,374,1589,930,11
"DNAJB4",215,207,524,1544,1260,11
"GIPC2",90,40,48,366,95,7
"AC103591.3",23,99,198,35,592,6
"AC103591.4",2,2,2,2,0,1
"AC096531.2",0,0,1,287,66,0
"PTGFR",2,0,4,5410,1211,15
"IFI44L",33,336,152,248,245,7
"IFI44",53,259,130,413,407,4
"ADGRL4",6,4,2,67,58,4
"LINC02792",0,0,0,0,0,0
"AC099671.1",0,0,0,0,0,0
"AL136234.1",0,0,0,1,0,1
"LINC01781",1,0,0,6,0,0
"ADGRL2",15,3,90,1177,761,7
"AL138799.4",0,0,0,1,0,0
"AC117944.1",0,0,0,1,0,1
"AL157944.1",1,1,1,24,7,1
"LINC01362",3,6,1,32,3,0
"LINC01361",0,0,0,1,1,0
"AC116099.1",0,0,1,5,1,0
"LINC01712",0,0,0,2,0,0
"LINC01725",18,19,18,46,39,0
"TTLL7",6,4,19,717,537,16
"TTLL7-IT1",0,0,0,3,2,1
"AC104454.2",1,0,0,0,0,0
"AL359504.2",1,0,2,135,153,2
"PRKACB",315,301,187,1134,715,6
"SAMD13",2,1,3,25,36,0
"DNASE2B",0,0,0,1,1,0
"RPF1",260,212,93,978,694,8
"GNG5",1020,336,844,7523,5572,31
"SPATA1",74,61,47,414,139,2
"CTBS",144,71,177,1752,1021,5
"AL359762.1",11,3,5,23,31,0
"SSX2IP",68,39,16,157,107,3
"LPAR3",31,2,6,4,4,0
"MCOLN2",229,228,69,19,24,2
"WDR63",70,40,13,59,47,0
"MCOLN3",9,2,1,96,130,0
"SYDE2",63,29,15,211,89,2
"C1orf52",349,199,202,2141,1218,8
"BCL10",239,171,173,1255,806,7
"AL078459.1",34,23,26,248,103,4
"DDAH1",32,1,26,318,247,11
"AC092807.3",3,0,0,63,78,0
"AC092807.2",0,0,0,4,8,0
"CCN1",320,6,429,7097,23152,103
"AC092807.1",0,0,0,2,5,0
"ZNHIT6",128,146,82,1278,517,8
"COL24A1",26,1,11,293,556,2
"LINC02795",23,4,3,22,12,0
"ODF2L",532,495,449,1715,1259,8
"CLCA2",0,0,0,3,4,0
"CLCA1",0,0,0,3,5,0
"CLCA4",0,0,0,1,0,0
"CLCA4-AS1",2,1,0,105,9,0
"AL049597.2",2,2,2,88,44,0
"SH3GLB1",399,399,418,3035,2609,13
"SELENOF",736,354,346,6693,4231,22
"HS2ST1",417,300,153,870,459,8
"AL121989.1",6,9,3,4,2,1
"LINC01140",3,1,17,1852,1045,7
"LINC02801",0,0,2,17,71,0
"LMO4",219,141,241,3384,1519,33
"LINC01364",1,2,2,4,1,1
"PKN2-AS1",6,13,6,117,58,0
"AL445438.1",0,0,0,10,2,0
"PKN2",734,565,358,3621,2749,18
"GTF2B",1152,798,490,2712,2193,34
"KYAT3",215,130,91,615,359,5
"RBMXL1",84,64,33,279,266,0
"GBP3",45,45,57,513,363,4
"GBP1",91,75,56,999,577,3
"GBP2",570,552,323,1945,1544,11
"AC104459.1",3,0,0,6,3,1
"GBP7",4,0,0,4,1,0
"GBP4",117,125,36,250,206,7
"AC099063.4",15,16,8,25,31,0
"GBP5",161,202,129,16,49,0
"AC099063.1",6,23,1,4,1,0
"GBP6",0,0,0,3,0,0
"AL596214.1",10,4,3,4,7,1
"LRRC8B",205,173,103,106,95,2
"LRRC8C-DT",87,61,23,61,121,1
"LRRC8C",1087,880,309,246,228,8
"AC099568.1",0,1,1,5,1,0
"AC099568.2",3,3,0,4,2,0
"LRRC8D",353,244,74,303,147,2
"ZNF326",346,289,213,1579,713,12
"AC098656.1",0,0,0,0,0,0
"AL627316.1",0,0,0,0,0,0
"LINC02787",0,0,0,0,0,0
"LINC02609",12,1,10,418,438,4
"LINC02788",1,0,2,7,0,1
"LINC01763",2,0,0,1,2,0
"ZNF644",1742,991,626,3324,2259,40
"HFM1",2,1,1,95,58,0
"CDC7",48,47,21,115,65,0
"TGFBR3",291,328,196,10228,9943,22
"BRDT",15,14,7,7,0,0
"EPHX4",5,7,2,8,1,0
"BTBD8",15,25,17,315,408,2
"AC104836.1",0,0,0,2,1,0
"C1orf146",8,2,2,14,0,0
"GLMN",196,172,133,685,355,3
"RPAP2",292,239,213,1983,875,7
"GFI1",28,37,15,8,12,0
"EVI5",178,33,147,2363,1554,17
"RPL5",11197,3899,4880,45494,39549,220
"DIPK1A",440,409,204,813,461,2
"AC093577.1",4,2,0,0,0,0
"MTF2",377,330,168,846,365,9
"TMED5",557,340,260,3135,1598,7
"CCDC18",276,150,74,664,255,6
"CCDC18-AS1",293,162,139,1836,1164,6
"DR1",232,140,117,1187,583,6
"FNBP1L",41,7,39,750,293,6
"BCAR3",65,20,27,438,205,13
"AL109613.1",0,0,0,4,0,0
"AL049796.1",2,1,1,21,12,0
"DNTTIP2",472,263,218,1764,1234,6
"GCLM",229,79,137,1288,518,13
"ABCA4",0,0,2,7,13,1
"ARHGAP29",46,1,489,1825,2023,18
"ARHGAP29-AS1",3,0,1,3,10,0
"AC097059.1",0,0,1,1,0,0
"AC118469.2",0,0,0,3,13,0
"ABCD3",204,98,113,970,519,9
"F3",352,8,211,9892,2319,29
"AC093117.1",0,0,0,1,0,0
"SLC44A3",6,2,31,364,225,3
"CNN3",131,5,240,6014,3961,38
"AC105942.1",4,0,4,111,138,3
"ALG14",57,12,36,793,562,6
"AC095033.1",0,0,0,1,0,0
"TLCD4",5,1,3,627,217,3
"AC092802.1",2,1,2,105,95,1
"RWDD3",95,54,120,974,860,3
"AC092802.2",4,1,0,11,0,0
"AL445218.1",0,0,0,0,0,0
"LINC02607",1,0,0,6,2,0
"LINC02790",0,0,0,3,5,0
"LINC01787",0,0,0,5,0,0
"PTBP2",597,364,296,1688,1573,24
"DPYD",1405,768,674,5707,4203,36
"DPYD-AS1",78,95,56,247,147,4
"DPYD-IT1",4,0,1,4,3,0
"MIR137HG",1,0,3,1,2,0
"LINC01776",0,0,1,4,0,0
"SNX7",18,2,103,1536,1030,7
"PLPPR5",2,0,0,2,4,0
"AL445433.2",2,1,0,13,1,0
"PLPPR4",0,0,6,34,17,4
"LINC01708",0,0,0,12,2,0
"PALMD",19,1,46,238,168,5
"FRRS1",7,8,23,505,463,2
"AGL",109,78,73,1482,1048,7
"AC118553.1",1,1,1,16,54,0
"SLC35A3",176,188,96,914,514,6
"MFSD14A",415,339,181,1342,818,3
"AC093019.2",61,97,38,39,8,0
"SASS6",52,45,21,348,243,0
"TRMT13",90,32,34,978,332,6
"LRRC39",19,10,5,99,13,1
"DBT",45,29,25,556,263,0
"AL445928.2",12,18,15,61,19,0
"RTCA-AS1",8,5,13,158,156,1
"RTCA",126,92,86,794,366,1
"CDC14A",1329,1229,871,510,902,12
"AL589990.1",41,50,19,2,1,0
"GPR88",1,0,6,9,3,0
"LINC01349",0,0,0,3,3,0
"AC099670.3",0,0,0,1,0,0
"VCAM1",7,4,415,463,285,4
"EXTL2",34,13,45,1201,668,4
"AC104506.1",25,20,11,82,216,3
"SLC30A7",753,258,201,1366,592,12
"DPH5",93,30,31,673,245,2
"AC093157.1",69,24,26,404,197,1
"AL109741.1",75,46,20,9,16,0
"S1PR1",401,139,59,53,52,2
"LINC01307",0,0,0,0,0,0
"LINC01709",2,1,0,1,0,0
"OLFM3",0,0,1,6,0,0
"AC114485.1",0,1,0,4,0,0
"AC099567.1",0,0,0,2,0,0
"COL11A1",78,1,226,57,28,0
"AC095032.2",0,0,0,1,0,0
"AC095032.1",16,6,0,73,34,3
"RNPC3",256,152,140,1849,1282,4
"AMY2B",51,13,12,262,158,2
"AL591888.1",0,0,0,2,0,0
"LINC01676",0,0,0,1,0,0
"LINC01677",0,0,0,3,0,0
"AL355306.2",0,0,0,8,0,0
"LINC01661",1,0,0,2,0,0
"PRMT6",13,4,5,250,101,0
"NTNG1",2,1,0,1448,600,5
"VAV3",295,819,202,133,181,2
"VAV3-AS1",1,2,0,2,3,0
"LINC02785",5,1,1,6,2,0
"SLC25A24",136,99,100,1283,921,3
"AL359258.2",2,3,3,18,50,0
"FAM102B",459,498,329,1505,905,12
"HENMT1",29,26,12,108,118,0
"AL160171.1",9,17,6,39,15,0
"PRPF38B",803,589,329,2620,889,7
"FNDC7",72,7,5,20,2,1
"STXBP3",381,253,228,2231,1351,6
"AKNAD1",61,33,25,673,520,2
"SPATA42",0,0,0,5,6,0
"GPSM2",61,64,41,2357,1385,5
"CLCC1",25,19,32,790,387,2
"WDR47",309,294,138,629,371,37
"TAF13",215,84,144,798,389,10
"AL356488.3",10,8,5,85,56,1
"TMEM167B",119,89,101,1023,555,2
"AL356488.2",5,7,5,86,81,0
"C1orf194",4,0,0,17,5,0
"KIAA1324",102,61,30,27,37,3
"SARS",270,171,223,3368,2202,19
"CELSR2",5,3,0,5,5,0
"PSRC1",4,1,8,23,74,0
"MYBPHL",0,0,0,0,1,0
"SORT1",19,7,36,64,101,7
"PSMA5",446,322,284,3257,1728,10
"SYPL2",1,0,1,55,56,1
"ATXN7L2",16,9,6,62,70,0
"CYB561D1",30,36,12,165,82,1
"AMIGO1",6,4,1,111,35,3
"GNAI3",654,304,276,2829,1729,19
"GNAT2",4,1,1,10,8,0
"AMPD2",88,19,84,303,278,4
"GSTM4",19,1,21,548,658,1
"GSTM2",21,2,18,445,563,0
"GSTM1",12,0,0,40,0,0
"AC000032.1",0,0,0,0,0,1
"GSTM5",3,0,1,1539,1007,5
"GSTM3",217,37,164,4839,4446,22
"EPS8L3",0,0,0,0,0,0
"LINC01768",1,1,0,31,5,0
"CSF1",174,53,103,2002,1603,7
"AHCYL1",205,128,129,2660,1232,18
"STRIP1",119,84,45,400,285,8
"AL160006.1",1,2,2,38,12,1
"ALX3",8,0,6,3,0,1
"LINC01397",7,0,5,38,36,0
"SLC6A17",3,1,2,7,1,0
"LINC02586",0,1,0,1,6,0
"KCNC4",53,14,16,119,41,4
"RBM15-AS1",32,14,7,69,59,2
"RBM15",75,87,39,315,139,2
"LAMTOR5-AS1",105,34,30,210,74,3
"SLC16A4",81,17,52,1451,828,2
"AL355488.1",6,2,3,59,6,0
"LAMTOR5",409,168,454,5462,3800,8
"PROK1",0,0,0,10,9,0
"KCNA2",6,6,1,10,14,1
"AL365361.1",84,61,34,15,8,0
"KCNA3",29,49,21,7,11,0
"CD53",1106,713,449,187,374,6
"AL360270.2",6,4,1,7,2,1
"AL360270.1",21,18,16,6,1,1
"LRIF1",360,286,155,1227,423,6
"AL360270.3",3,8,5,6,10,0
"DRAM2",110,63,86,1197,1102,4
"CEPT1",105,81,54,976,383,5
"AL355816.2",25,11,10,38,5,0
"DENND2D",93,111,65,60,44,0
"CHI3L2",131,18,11,32,102,1
"CHIA",0,0,0,0,0,0
"PIFO",2,2,0,42,112,0
"OVGP1",5,2,7,25,12,0
"AL390195.2",2,0,0,19,12,0
"AL390195.1",8,0,4,24,6,0
"WDR77",23,10,11,365,215,1
"ATP5PB",299,149,128,2366,910,7
"C1orf162",142,60,60,107,141,1
"TMIGD3",4,0,3,7,15,0
"ADORA3",0,0,0,1,2,0
"RAP1A",1373,1093,565,2866,1571,30
"LINC01160",0,0,0,4,3,0
"INKA2",112,171,65,147,71,3
"INKA2-AS1",3,0,3,26,6,0
"AL049557.1",1,1,1,5,8,0
"DDX20",81,53,36,315,142,0
"KCND3",8,1,5,308,69,3
"LINC01750",0,2,0,90,39,1
"AL445426.1",1,2,3,1652,993,3
"CTTNBP2NL",45,29,166,1013,702,8
"WNT2B",36,20,29,1014,187,6
"AL354760.1",1,0,0,9,2,0
"ST7L",135,78,77,1184,531,7
"CAPZA1",1191,971,458,2449,996,14
"MOV10",39,42,18,166,128,1
"AL603832.1",21,9,8,12,9,1
"RHOC",442,40,284,4905,3121,24
"PPM1J",1,1,6,16,8,0
"AL603832.2",3,0,0,11,7,0
"TAFA3",1,0,0,3,3,1
