"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"AL138787.2",98,74,44,88,33,4
"ADPRHL2",163,79,66,1530,780,3
"COL8A2",46,3,14,477,318,8
"TRAPPC3",175,99,101,1570,1048,8
"MAP7D1",304,108,157,1290,623,10
"THRAP3",700,634,370,4659,2548,29
"SH3D21",33,2,24,68,58,1
"EVA1B",84,20,186,3766,2095,11
"AL591845.1",12,0,2,7,2,0
"STK40",194,103,95,833,296,8
"LSM10",154,76,120,2252,1386,7
"OSCP1",11,2,8,252,193,2
"MRPS15",180,105,132,2162,1523,7
"CSF3R",275,11,74,6,150,0
"AC117945.1",0,0,0,0,0,0
"GRIK3",0,0,1,5,1,0
"AL353604.1",0,0,0,6,0,0
"LINC01137",25,9,14,116,71,4
"ZC3H12A",393,108,139,553,447,5
"MEAF6",295,141,198,2728,1786,17
"SNIP1",193,200,102,766,676,7
"DNALI1",5,2,12,402,288,0
"GNL2",128,61,80,1023,360,8
"AL513220.1",1,1,1,6,7,0
"RSPO1",0,0,0,21,2,0
"C1orf109",76,31,36,583,223,4
"CDCA8",10,4,6,17,17,0
"EPHA10",0,3,0,3,0,0
"MANEAL",7,8,2,25,13,1
"YRDC",121,80,90,833,351,2
"C1orf122",207,62,228,2802,2799,10
"MTF1",119,69,43,594,221,5
"AL929472.2",1,0,0,4,0,1
"INPP5B",78,106,47,502,286,0
"SF3A3",241,139,112,1777,771,5
"FHL3",57,4,44,831,430,5
"UTP11",122,55,67,1876,703,5
"POU3F1",86,8,27,247,80,2
"MIR3659HG",5,7,12,49,10,1
"AL390839.2",0,0,0,0,0,1
"LINC01685",0,1,0,2,1,0
"AL354702.2",4,0,2,1,0,0
"RRAGC",133,59,53,1161,677,2
"AL139260.1",84,27,20,455,510,14
"MYCBP",84,55,51,398,271,3
"GJA9",3,4,1,16,11,0
"RHBDL2",16,9,12,63,48,3
"AKIRIN1",542,369,244,1828,687,6
"NDUFS5",1386,835,1546,7823,7659,39
"MACF1",1021,818,972,4407,2935,72
"AL356055.1",2,3,4,6,6,0
"AL442071.2",17,34,22,29,1,0
"AL442071.1",15,14,9,20,7,0
"BMP8A",18,6,15,14,4,1
"PABPC4",408,219,359,2264,1202,18
"PABPC4-AS1",4,6,2,2,0,1
"HEYL",3,1,10,1240,294,9
"NT5C1A",4,0,0,7,10,0
"HPCAL4",41,20,4,6,2,0
"PPIE",110,66,71,1322,1282,7
"BMP8B",3,3,1,7,3,1
"OXCT2",1,1,7,2,2,0
