"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EARS2",-0.137889323086902,2.04881373790251,-0.238155072815251,0.81718535156932,0.863525742522054,-6.41866743527082
"NACA",0.119620348773921,10.2745405072699,0.238096588737902,0.81722931273162,0.863525742522054,-6.81958886021094
"TFDP2",-0.0882870805039495,6.3401010402235,-0.238051392294792,0.817263286342629,0.863525742522054,-6.85592722700748
"ATP6V1D",0.0722095364732782,5.85609965978021,0.237620965266756,0.817586853298609,0.863804040353911,-6.85678932611882
"MFN1",-0.0723165331960631,5.26431130443399,-0.237484313077309,0.81768958715664,0.863848997869022,-6.84562258524104
"TSC22D4",-0.0667244341583313,4.46337145981949,-0.237042963774339,0.818021414676382,0.864135957187577,-6.80940376807385
"C7orf26",0.076150393169609,3.67485602210146,0.236899918164555,0.818128971451561,0.864185978086372,-6.73739376766495
"EIF5",0.0834045466079925,8.11969704815141,0.236741684958953,0.818247952558973,0.86424805820688,-6.85896883438202
"M6PR",0.063376684911046,5.81434959884403,0.235308624756904,0.819325745007878,0.865286151223179,-6.85907104605889
"AL049840.5",-0.152375168078317,1.81420357799724,-0.23527457793016,0.819351356236968,0.865286151223179,-6.35003290864315
"ATP8B4",0.115794234602394,3.91276269110957,0.234989492234179,0.819607535777581,0.865493016151799,-6.75564228415824
"DDX17",0.0791701538314422,7.76520329211471,0.233916290205205,0.820373293168666,0.866231686715845,-6.85803026739159
"EGLN1",0.0656361378080899,5.47453703924671,0.233843936581619,0.820427740065621,0.866231686715845,-6.85732683292484
"KDM5B",0.0659886389795146,5.78258903723662,0.233693509108052,0.820540941654187,0.866247453562876,-6.86003375055636
"HIST1H2AC",0.0856559421961762,5.23292752724689,0.233663704771706,0.820563370913643,0.866247453562876,-6.85455075968
"ACO2",-0.0832007840725204,5.13926250453463,-0.233424264572793,0.820743567953093,0.866373964877092,-6.84449206700148
"C10orf143",-0.10804456238903,2.8110424337011,-0.232607773541361,0.821358123532611,0.866958931185168,-6.52598695932928
"BX284668.6",-0.0846648633412079,3.27021115022731,-0.232321657603338,0.821573507540975,0.867122509356115,-6.65741332677196
"BCL2L13",-0.0587162852152199,4.73551469698605,-0.231640398879388,0.82208641314066,0.867600056923832,-6.83640192269257
"AC104506.1",-0.180567508671831,2.53447596096874,-0.231553184919715,0.82225259102085,0.867711637370481,-6.48344942468771
"DGKI",0.248269751472167,1.82280868227091,0.231376628279425,0.822654828477835,0.868013302933904,-6.35855045585681
"CTH",0.0908052072396717,3.08389509606881,0.230879483826866,0.822659396204042,0.868013302933904,-6.68870851768871
"COMMD10",0.0872811360881549,6.11240292274143,0.230631138332316,0.82284642906487,0.868146831517615,-6.8619603706599
"USP1",-0.0714360204105855,5.46971357063549,-0.230536392544366,0.822917786717918,0.868158305934808,-6.85637737167009
"XPOT",-0.0704693293622674,4.48467922749124,-0.23035477927116,0.823054573312055,0.868238799538564,-6.82458234856685
"SSU72",-0.0930410018351404,6.20518488510018,-0.229907904280219,0.823391175372673,0.868530050800952,-6.862847966342
